mean_pitch,std_pitch,max_pitch,min_pitch,mean_gx,mean_gy,mean_gz,label
1.1024,3.5401594337439843,7.58,-5.16,-0.061799999999999994,0.004000000000000001,-0.023599999999999986,0
1.5832,1.8290595776998382,4.88,-3.0,-0.08859999999999997,-0.0236,-0.019000000000000003,0
1.7464,0.5096567872758357,3.09,0.9,-0.0458,-0.0058000000000000005,-0.03180000000000001,0
1.7366,1.4808252111989615,8.91,-3.36,-0.0434,0.0016000000000000003,-0.0206,0
2.6321999999999997,1.4991811234191574,8.55,-1.38,-0.0484,-0.0166,-0.0352,0
2.5433999999999997,0.5345553559468174,3.85,1.65,-0.0538,-0.0048,-0.0342,0
2.921,1.0060049295939593,6.5,0.56,-0.047599999999999996,-0.0072,-0.027600000000000003,0
1.4768,1.3889923524274859,4.75,-1.61,-0.07139999999999999,-0.021399999999999995,-0.0524,0
0.8342,1.086112877961342,3.44,-1.86,-0.0416,-0.0068000000000000005,-0.0138,0
0.8270000000000001,0.8451741759868802,2.99,-0.94,-0.05379999999999999,0.0012000000000000005,-0.011200000000000002,0
3.3964,1.2146818849528682,6.25,-0.91,-0.042,-0.0036,-0.036000000000000004,0
3.1852,0.6587937028062296,4.33,1.86,-0.050199999999999995,-0.008,-0.028800000000000003,0
3.4648000000000003,0.517226670398413,4.93,2.52,-0.05399999999999999,-0.0058,-0.0302,0
3.8097999999999996,0.4251505855672355,5.05,2.85,-0.053599999999999995,-0.0094,-0.030000000000000006,0
3.9341999999999997,0.48065469806869693,4.95,2.4,-0.051000000000000004,-0.0068000000000000005,-0.031,0
4.1676,0.5911578400365969,5.54,2.78,-0.0532,-0.0088,-0.0264,0
4.3856,0.5507366495366521,5.65,3.28,-0.046599999999999996,-0.008200000000000002,-0.028000000000000004,0
4.3232,0.5017660240163166,5.11,3.13,-0.05620000000000001,-0.0102,-0.0354,0
4.5336,0.7302103694644917,6.68,3.3,-0.042600000000000006,-0.0058000000000000005,-0.030600000000000002,0
4.478,0.8622230404185285,5.96,1.25,-0.055,-0.013000000000000001,-0.035,0
2.3566000000000003,1.8798779921330329,6.59,-1.06,-0.07719999999999999,-0.0254,-0.027200000000000002,0
1.9349999999999996,0.5369462026030131,3.45,0.73,-0.0444,-0.0078000000000000005,-0.030600000000000006,0
2.0936000000000003,0.40294203766085973,2.99,1.17,-0.0426,-0.005,-0.031799999999999995,0
3.3412,2.12342584191736,11.02,-2.63,0.003999999999999999,-0.0008000000000000012,0.003000000000000001,0
4.3660000000000005,2.015758326946229,7.87,-0.67,0.09479999999999995,0.009799999999999996,0.0278,1
4.839599999999999,1.102575759810839,7.65,2.39,-0.2502,-0.0154,-0.026399999999999996,1
4.6314,1.3402314908177586,8.71,1.91,-0.044600000000000015,-0.023200000000000002,-0.037200000000000004,1
3.3361999999999994,0.6175788473167303,4.81,2.02,-0.032999999999999995,-0.011000000000000001,-0.023400000000000004,1
3.6056,0.5008529866994049,5.29,2.68,0.22519999999999998,0.0064,-0.0152,1
2.0102,2.159287949528639,6.45,-1.27,-0.43979999999999997,-0.049800000000000004,-0.05720000000000001,1
1.8962,0.8151321164982636,4.74,0.3,0.1894,0.0164,-0.0030000000000000005,1
2.1164,1.9454035413701471,5.82,-4.87,-0.2552,-0.028200000000000003,-0.031400000000000004,1
3.2594,1.2776467685969086,6.37,-2.71,0.02519999999999997,-0.016799999999999995,-0.0304,1
2.9662,2.2392645385191514,11.08,-0.96,-0.064,-0.015799999999999995,-0.031400000000000004,1
4.188999999999999,1.874874961817182,10.51,0.6,-0.16620000000000001,-0.0378,-0.0508,1
3.3709999999999996,0.8431361523672031,5.35,0.66,0.0992,0.0036,0.0014000000000000002,1
4.6082,1.0179966119986923,7.25,2.53,0.2778,0.0216,-0.0166,1
5.1548,1.4662478004228678,8.38,0.22,-0.5016,-0.0666,-0.09179999999999999,1
5.0906,1.2158870281840013,8.11,2.08,-0.04839999999999999,-0.0038000000000000013,-0.016999999999999994,1
5.070399999999999,0.8294870802649855,7.35,3.69,0.23519999999999996,0.008400000000000001,0.0124,1
4.482600000000001,1.8152492492037267,7.15,-2.0,-0.2426,-0.012199999999999999,-0.0356,1
4.8222000000000005,1.2641949765663167,6.82,1.94,-0.162,-0.0328,-0.063,1
4.914,0.6512907122297498,6.2,3.47,0.20779999999999998,-0.007799999999999999,0.009,1
5.263599999999999,1.6018506643942836,7.22,1.8,-0.2596,-0.0052000000000000015,-0.0296,1
4.257000000000001,1.4624319275977062,7.43,1.42,-0.11460000000000001,-0.0134,-0.043199999999999995,1
7.167000000000001,0.8357136752134523,8.16,5.23,0.06,-0.014600000000000004,0.006000000000000001,1
5.832800000000001,2.8958323606908754,10.01,0.36,-0.12999999999999998,0.002000000000000002,-0.0498,1
7.615600000000001,1.532411944402333,9.57,3.08,0.24020000000000002,-0.037200000000000004,0.023600000000000003,1
6.880599999999999,3.5317177470599144,11.67,-0.62,-0.2988,0.0092,-0.026199999999999998,1
4.771599999999999,2.853730362103581,11.73,-1.46,-0.11259999999999998,-0.0326,-0.05380000000000001,1
6.255,1.2566171790540974,9.66,4.19,0.0762,-0.0262,0.0176,1
4.3342,4.123960395898435,11.02,-3.65,-0.14280000000000004,-0.0208,0.0023999999999999985,1
0.4836,1.758974376488429,4.67,-3.53,-0.1198,-0.04220000000000001,-0.1182,1
2.8876,1.5568748917531647,8.1,1.14,0.1788,-0.008400000000000001,0.051000000000000004,1
2.5117999999999996,1.9350269628454213,5.53,-2.02,-0.18080000000000002,-0.022000000000000006,-0.03779999999999999,1
3.0862,0.6403758144039088,4.57,1.85,0.2526,0.002999999999999999,-0.013200000000000003,1
3.505,3.4129562564092826,13.15,-5.88,-0.45740000000000003,-0.04619999999999999,-0.0724,1
3.5016000000000003,1.045513954269109,6.72,1.44,0.3732,0.013999999999999999,-0.0011999999999999988,1
3.8265999999999996,1.0954220321736408,6.24,1.5,-0.5182,-0.034800000000000005,-0.047599999999999996,1
3.6742000000000004,0.9173410778228698,5.35,0.59,0.4003999999999999,0.002,-0.0020000000000000005,1
4.6610000000000005,1.0178313279934441,6.79,2.11,-0.4376,-0.032600000000000004,-0.0438,1
3.2692,1.1789615631338195,5.07,0.15,0.31999999999999995,-0.0033999999999999985,-0.021,1
3.7024,2.3450917566139657,9.13,-2.13,-0.43459999999999993,-0.06860000000000001,-0.1204,1
8.0196,4.201309300293742,16.2,-1.93,0.27460000000000007,0.14020000000000002,0.0642,1
5.840999999999999,2.3220128934937074,11.15,1.53,-0.1672,-0.0714,-0.044799999999999986,1
5.4239999999999995,2.547031084800257,12.65,1.49,-0.24900000000000003,-0.0398,-0.0832,1
5.367000000000001,1.0364366938738532,8.6,2.83,0.35660000000000003,0.015,0.019,1
6.218599999999999,1.8750804173231002,11.05,-0.01,-0.5392,-0.0794,-0.08539999999999999,1
5.440199999999999,1.280051800609998,9.8,2.92,0.4109999999999999,0.0374,0.028000000000000004,1
6.190200000000001,2.1162919921216843,11.04,-0.34,-0.45720000000000005,-0.05920000000000001,-0.07400000000000001,1
4.6857999999999995,3.181566223207221,10.78,-3.42,0.21500000000000002,0.017000000000000005,0.00039999999999999135,1
5.050599999999999,2.0355678243052817,12.24,2.25,-0.17180000000000006,-0.0366,-0.038,1
2.9064000000000005,2.006597038139294,7.27,-3.98,-0.24440000000000006,-0.0336,-0.04680000000000001,1
3.0446,1.118317267238632,5.21,-0.91,0.4102,0.0308,0.011199999999999998,1
5.672600000000001,1.010747975208338,7.07,2.55,-0.12440000000000001,-0.0025999999999999994,-0.0466,1
3.460199999999999,2.705652805154574,7.87,-1.67,-0.3956000000000001,-0.0702,-0.05500000000000001,1
3.5408,1.0579588356638379,5.52,1.46,-0.066,-0.0092,-0.0222,1
3.8066000000000004,1.745793322971139,9.69,1.65,-0.0864,-0.0142,-0.0732,1
4.8174,0.8228839529362569,6.58,2.45,0.07400000000000001,0.0030000000000000005,0.027000000000000003,1
5.1294,1.755646761458696,10.12,2.1,-0.14300000000000002,-0.031,-0.04799999999999999,1
4.494000000000001,1.9059584337074111,11.33,1.39,-0.05960000000000001,-0.0458,-0.03900000000000001,1
2.1048,1.742624387268249,4.65,-2.78,0.0806,0.013999999999999999,-0.019,1
3.6544,2.5106435958347655,8.94,-0.82,-0.16879999999999998,-0.047599999999999996,-0.0354,1
4.1592,1.3123259301479857,8.44,1.87,-0.020600000000000004,-0.0128,-0.032,1
4.1062,0.6168282597618371,5.53,2.98,0.041800000000000004,-0.0004000000000000001,-0.006000000000000001,1
5.0144,1.4476880372031897,9.54,1.62,-0.18980000000000005,-0.0282,-0.048200000000000014,1
5.374599999999999,1.409236600404051,8.7,2.38,-0.11420000000000002,-0.0254,-0.054799999999999995,1
